משפחה,תאור מחסן,מחסן,כמות,מק'ט
69.0,מחסן ראשי,Main,4.0,69140204ER
69.0,מחסן ראשי,Main,22.0,69140205ER
69.0,מחסן ראשי,Main,1.0,69140211ER
69.0,מחסן ראשי,Main,9.0,69140226ER
69.0,מחסן ראשי,Main,1.0,69140226OCAP
69.0,מחסן ראשי,Main,10.0,69140227BAW
69.0,מחסן ראשי,Main,1.0,69140228OCAP
69.0,מחסן ראשי,Main,5.0,69140230OCAP
69.0,מחסן ראשי,Main,1.0,69140232OCAP
69.0,מחסן ראשי,Main,22.0,69140248ER
69.0,מחסן ראשי,Main,14.0,69140250ER
69.0,מחסן ראשי,Main,12.0,69140252ER
69.0,מחסן ראשי,Main,31.0,69140254ER
69.0,מחסן ראשי,Main,18.0,69140259BAW
69.0,מחסן ראשי,Main,20.0,69140261BAW
69.0,מחסן ראשי,Main,41.0,69140262BAW
69.0,מחסן ראשי,Main,28.0,69140263BAW
69.0,מחסן ראשי,Main,23.0,69140267BAW
69.0,מחסן ראשי,Main,56.0,69140271BAW
69.0,מחסן ראשי,Main,5.0,69140275BAW
69.0,מחסן ראשי,Main,6.0,69140302ER
69.0,מחסן ראשי,Main,44.0,69140401BAW
69.0,מחסן ראשי,Main,5.0,69140402ER
69.0,מחסן ראשי,Main,34.0,69140403BAW
69.0,מחסן ראשי,Main,8.0,69140403ER
69.0,מחסן ראשי,Main,6.0,69140404ER
69.0,מחסן ראשי,Main,16.0,69140404OCAP
69.0,מחסן ראשי,Main,10.0,69140405ER
69.0,מחסן ראשי,Main,2.0,69140434OCAP
69.0,מחסן ראשי,Main,9.0,69140497BAW
69.0,מחסן ראשי,Main,13.0,69140499BAW
69.0,מחסן ראשי,Main,17.0,69140511BAW
69.0,מחסן ראשי,Main,10.0,69140513BAW
69.0,מחסן ראשי,Main,12.0,69140515BAW
69.0,מחסן ראשי,Main,1.0,69140516ER
69.0,מחסן ראשי,Main,17.0,69140517BAW
69.0,מחסן ראשי,Main,3.0,69140519BAW
69.0,מחסן ראשי,Main,9.0,69140521BAW
69.0,מחסן ראשי,Main,6.0,69140522ER
69.0,מחסן ראשי,Main,1.0,69140523BAW
69.0,מחסן ראשי,Main,2.0,69140524ER
69.0,מחסן ראשי,Main,12.0,69140530ER
69.0,מחסן ראשי,Main,12.0,69140531BAW
69.0,מחסן ראשי,Main,4.0,69140532ER
69.0,מחסן ראשי,Main,5.0,69140533ER
69.0,מחסן ראשי,Main,3.0,69140534ER
69.0,מחסן ראשי,Main,1.0,69140535BAW
69.0,מחסן ראשי,Main,0.0,69140535ER
69.0,מחסן ראשי,Main,111.0,69140550BAW
69.0,מחסן ראשי,Main,3.0,69140615ER
69.0,מחסן ראשי,Main,3.0,69140616ER
69.0,מחסן ראשי,Main,2.0,69140706OCAP
69.0,מחסן ראשי,Main,29.0,69140707BAW
69.0,מחסן ראשי,Main,22.0,69140708BAW
69.0,מחסן ראשי,Main,1.0,69140708OCAP
69.0,מחסן ראשי,Main,2.0,69140710OCAP
69.0,מחסן ראשי,Main,2.0,69140712OCAP
69.0,מחסן ראשי,Main,2.0,69140716OCAP
69.0,מחסן ראשי,Main,2.0,69140724ER
69.0,מחסן ראשי,Main,4.0,69140726ER
69.0,מחסן ראשי,Main,5.0,69140730ER
69.0,מחסן ראשי,Main,8.0,69140737BAW
69.0,מחסן ראשי,Main,3.0,69140739BAW
69.0,מחסן ראשי,Main,16.0,69140743BAW
69.0,מחסן ראשי,Main,23.0,69140745BAW
69.0,מחסן ראשי,Main,7.0,69140749BAW
69.0,מחסן ראשי,Main,26.0,69140753BAW
69.0,מחסן ראשי,Main,42.0,69140755BAW
69.0,מחסן ראשי,Main,45.0,69140761BAW
